links,names,ratings,cuisine,price_for_one
https://www.zomato.com/hyderabad/shree-ganesh-darshini-kacheguda/order,Shree Ganesh Darshini,3.8,"South Indian, Beverages",50
https://www.zomato.com/hyderabad/slay-coffee-abids/order,SLAY Coffee,4.2,"Beverages, Coffee",50
https://www.zomato.com/hyderabad/the-dessert-bakers-himayath-nagar/order,The Dessert Bakers,3.4,"Waffle, Desserts",50
https://www.zomato.com/hyderabad/pure-veg-meals-by-lunchbox-malakpet/order,Pure Veg Meals by LunchBox,4,"North Indian, Street Food",50
https://www.zomato.com/hyderabad/green-treat-vegetarian-food-court-1-kothapet/order,Green Treat Vegetarian Food Court,4.1,"South Indian, Chinese, Fast Food, North Indian, Street Food, Biryani, Sandwich, Beverages",50
https://www.zomato.com/hyderabad/juice-world-saroor-nagar/order,Juice World,4,"Beverages, Juices, Salad, Shake, Desserts",50
https://www.zomato.com/hyderabad/cakes11-begumpet/order,CAKES11,3.6,"Bakery, Desserts",50
https://www.zomato.com/hyderabad/amay-tiffin-corner-abids/order,Amay Tiffin Corner,3.9,"South Indian, Street Food, Juices, Beverages",50
https://www.zomato.com/hyderabad/emerald-mithai-shop-necklace-road/order,Emerald Mithai Shop,4.5,Mithai,50
https://www.zomato.com/hyderabad/al-kareem-hotel-1-mehdipatnam/order,Al Kareem Hotel,4.1,Hyderabadi,50
https://www.zomato.com/hyderabad/the-brooklyn-creamery-healthy-ice-cream-abids/order,The Brooklyn Creamery - Healthy Ice Cream,3.8,Ice Cream,50
https://www.zomato.com/hyderabad/forbes-cafe-restaurant-dilsukhnagar/order,Forbes Cafe & Restaurant,3.7,"Biryani, Cafe, North Indian, Continental, Street Food, Beverages, Desserts, Pizza",50
https://www.zomato.com/hyderabad/amaravathi-family-restaurant-l-b-nagar/order,Amaravathi Family Restaurant,4.1,"North Indian, Chinese, Andhra",350
https://www.zomato.com/hyderabad/tewari-brothers-mithaiwala-khairatabad/order,Tewari Brothers Mithaiwala,4.2,"Mithai, Desserts, Street Food",350
https://www.zomato.com/hyderabad/famous-ice-creams-nampally/order,Famous Ice Creams,4.2,"Desserts, Ice Cream",350
https://www.zomato.com/hyderabad/shree-balaji-family-dhaba-rajendra-nagar/order,Shree Balaji Family Dhaba,3.7,"North Indian, Fast Food",350
https://www.zomato.com/hyderabad/monginis-dilsukhnagar/order,Monginis,4,"Bakery, Desserts, Fast Food",350
https://www.zomato.com/hyderabad/wholesale-cakes-1-l-b-nagar/order,Wholesale Cakes,3.9,Bakery,350
https://www.zomato.com/hyderabad/sri-sai-veg-point-nallakunta/order,Sri Sai Veg Point,4.1,"Chinese, North Indian, Sichuan",350
https://www.zomato.com/hyderabad/euphoria-banjara-hills/order,Euphoria,4.6,"Desserts, Bakery",350
https://www.zomato.com/hyderabad/khichdi-express-musheerabad/order,Khichdi Express,3.5,North Indian,350
https://www.zomato.com/hyderabad/sri-darshini-pure-veg-kothapet/order,Sri Darshini Pure Veg,3.9,"South Indian, Chinese",350
https://www.zomato.com/hyderabad/shri-morya-home-foods-marathi-katta-koti/order,Shri Morya Home Foods Marathi Katta,4.1,"Maharashtrian, Fast Food, Street Food, Beverages",350
https://www.zomato.com/hyderabad/hotel-woodside-kacheguda/order,Hotel Woodside,4.4,South Indian,350
https://www.zomato.com/hyderabad/roastery-coffee-house-1-banjara-hills/order,Roastery Coffee House,4.3,"Cafe, American, Continental, Italian, Coffee, Beverages, Pizza, Burger",350
https://www.zomato.com/hyderabad/drunken-monkey-mehdipatnam/order,Drunken Monkey,4.3,"Healthy Food, Juices, Beverages",350
https://www.zomato.com/hyderabad/sahadeva-reddy-tiffins-dilsukhnagar/order,Sahadeva Reddy Tiffins,4.2,Street Food,350
https://www.zomato.com/hyderabad/govind-dosa-charminar/order,Govind Dosa,3.5,South Indian,350
https://www.zomato.com/hyderabad/samosa-singh-malakpet/order,Samosa Singh,3.7,"Street Food, Fast Food, North Indian, Maharashtrian, Tea",350
https://www.zomato.com/hyderabad/chai-point-banjara-hills/order,Chai Point,4,"Tea, Beverages, Fast Food",350
